_id,Inspection ID,Facility ID,Facility Name,Facility Address,Facility Address 2,Facility Municipality Name,Facility City,Facility County,Facility State,Facility Postal Code,Facility Latitude,Facility Longitude,Venue Type,Inspection Date,Inspection End,Inspection Purpose,Inspection Passed,Inspection Number,Inspector Name,"Free Chlorine, Shallow","Free Chlorine, Deep","Combined Chlorine, Shallow","Combined Chlorine, Deep","Free Bromine, Shallow","Free Bromine, Deep","pH Value, Shallow","pH Value, Deep",Cyanuric Acid,Turnover,Enclosure,Main Drain Visible,Safety Equipment,Disinfectant Level,pH Balance,No Imminent Health Hazards,Abated Date
59290,195942,9097,COMFORT INN & SUITES NORTH SHORE - POOL,820 E OHIO STREET,,Pittsburgh,Pittsburgh,Allegheny County,PA,15212,40.4545032658512,-79.9962691657201,POOLS (INDOOR),2021-10-15T09:10:00,2021-10-15T09:20:00,FOLLOW UP INSPECTION,t,4,NOBBS SCOTT,,,,0,,,,,,,t,t,t,t,t,t,2021-10-18
59291,195998,1201,MOON HIGH SCHOOL POOL,8353 UNIVERSITY BOULEVARD,,Moon Township,MOON TOWNSHIP,Allegheny County,PA,15108,40.5103208460052,-80.2200113021085,POOLS (SCHOOLS),2021-10-18T13:50:00,2021-10-19T14:45:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,4.5,4,0,0,,,7.4,7.4,,725,t,t,t,t,t,t,2021-10-25
59292,196048,1491,HOMEWOOD SUITES - POOL,2000 GSK DRIVE,,Moon Township,CORAOPOLIS,Allegheny County,PA,15108,40.4588729364906,-80.1763759420529,POOLS (INDOOR),2021-10-18T15:10:00,2021-10-21T15:50:00,INITIAL INSPECTION,t,1,MANOWN MARYANN,2.5,,0,,,,7.4,,,45,t,t,t,t,t,t,2022-10-24
59293,196160,5142,COMFORT INN & SUITES PITTSBURGH-POOL,1100 BANKSVILLE ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.4199183995027,-80.0302713936274,POOLS (INDOOR),2021-10-20T10:10:00,2021-10-26T10:40:00,FOLLOW UP INSPECTION,t,2,MANOWN MARYANN,6.5,,0.5,,,,7.2,,,,t,t,f,t,f,t,2021-11-24
59294,196238,2025,PGH BRASHEAR HIGH SCHOOL - POOL,590 CRANE AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.4180903383687,-80.0182268846982,POOLS (INDOOR),2021-10-26T09:35:00,2021-10-29T10:35:00,INITIAL INSPECTION,f,1,MANOWN MARYANN,4.5,4,0,0,,,7.4,7.4,,675,t,t,t,t,t,t,2021-11-01
59295,196275,2456,VIRGINIA MANSIONS CONDO SPA,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.392329381139,-80.0710259448075,SPA/HOT TUB (INDOOR),2021-11-01T13:45:00,2021-11-02T13:58:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,2021-12-15
59296,196315,2325,SHALER ELEMENTARY SCHOOL POOL,700 SCOTT AVENUE,,Shaler Township,GLENSHAW,Allegheny County,PA,15116,40.5393840341506,-79.982936779979,POOLS (SCHOOLS),2021-11-02T13:30:00,2021-11-03T14:00:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,2,2,0.2,0.2,,,7.2,7.2,,370,t,t,t,t,t,t,2021-11-08
59297,196339,1456,MT LEBANON SR HIGH POOL,155 COCHRAN ROAD,,Mount Lebanon,PITTSBURGH,Allegheny County,PA,15228,40.3763192749489,-80.0508801055282,POOLS (SCHOOLS),2021-11-02T12:40:00,2021-11-04T13:00:00,INITIAL INSPECTION,f,1,WILSON ANGELA,1.6,1.8,0.2,0,,,7.2,7.4,,880,t,t,t,t,t,t,2021-11-04
59298,196396,2002,JEWISH COMMUNITY CENTER LAP POOL,5738 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.4376687260433,-79.923903960314,POOLS (INDOOR),2021-11-01T14:30:00,2021-11-05T15:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4.8,4.8,0.2,0.2,,,7.4,7.4,,300,t,t,t,t,t,t,2021-11-05
59299,196556,678,CHATHAM UNIVERSITY  SPA, WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,,,SPA/HOT TUB (INDOOR),2021-11-10T09:30:00,2021-11-12T09:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,2021-11-10
59300,196558,677,CHATHAM UNIVERSITY POOL,1 WOODLAND ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15232,40.4489390620979,-79.9243967503184,POOLS (INDOOR),2021-11-10T09:45:00,2021-11-12T10:15:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,2.8,,0,,,,7.5,,,90,t,t,t,t,t,t,2022-01-19
59301,196561,2494,CMU / AQUATIC CENTER DIVING POOL,5000 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,,,POOLS (SCHOOLS),2021-11-10T02:45:00,2021-11-12T03:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,2,,0,,,,7.5,,,840,t,t,t,t,t,t,2021-11-15
59302,196588,2228,HAMPTON HIGH SCHOOL POOL,2929 MCCULLY ROAD,,Hampton Township,ALLISON PARK,Allegheny County,PA,15101,40.583390666351,-79.9404898304112,POOLS (SCHOOLS),2021-11-10T12:40:00,2021-11-15T13:35:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3.6,2.8,0,0.2,,,7.6,6.6,,500,t,t,f,t,t,t,2021-12-22
59303,196603,1943,RIVERS CLUB / INDOOR POOL,301 GRANT STREET,Ste 411,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4380070791428,-79.9986101884119,POOLS (INDOOR),2021-11-12T09:00:00,2021-11-15T09:30:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,4,,0,,,,7.6,,,90,t,t,f,t,t,t,2022-01-19
59304,196605,5683,DRURY PLAZA HOTEL POOL-PITTSBURGH,745 GRANT STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15219,40.4429878979993,-79.9948745754815,POOLS (INDOOR),2021-11-12T10:15:00,2021-11-15T10:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,0,,6,,7.6,,,55,t,t,t,t,t,t,2021-11-15
59305,196608,69,DUQUESNE UNIVERSITY / INDOOR POOL,1345 VICROY STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15282,,,POOLS (SCHOOLS),2021-11-12T01:15:00,2021-11-15T01:45:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,2.4,,0,,,,7.5,,,325,t,t,f,t,t,t,2022-01-19
59306,196656,6243,STAYBRIDGE SUITES CRANBERRY POOL,915 BRUSH CREEK ROAD,,Marshall Township,WARRENDALE,Allegheny County,PA,15086,40.6616656807735,-80.0979539053503,POOLS (INDOOR),2021-11-17T14:50:00,2021-11-18T15:20:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,,,,,2.25,,7.6,,,65,t,t,t,t,t,t,2021-12-21
59307,196692,2037,PGH ALLEGHENY K - 5 & 6 - 8 POOL,810 ARCH STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.4532387485438,-80.0086586852684,POOLS (SCHOOLS),2021-11-18T13:35:00,2021-11-19T14:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3.4,3.4,0.4,0.2,,,7.4,7.4,,225,t,t,f,t,t,t,2021-11-23
59308,196738,5802,FAIRFIELD INN & SUITES BY MARRIOTT-MCCANDLESS POOL,901 PROVIDENCE BOULEVARD,,McCandless,PITTSBURGH,Allegheny County,PA,15237,40.5705854219769,-80.0189045417659,POOLS (INDOOR),2021-11-19T15:30:00,2021-11-22T15:40:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,2021-11-23
59309,196849,2512,HOSANNA HOUSE POOL,807 WALLACE AVENUE,,Wilkinsburg,PITTSBURGH,Allegheny County,PA,15221,40.4437162075465,-79.880568491439,POOLS (INDOOR),2021-11-29T08:45:00,2021-11-29T09:15:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,,,,,,,t,t,t,t,t,t,2021-11-30
59310,196866,2509,IMPERIAL HOUSE CONDO SPA,5600 MUNHALL ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,40.4335664710893,-79.9264413220056,SPA/HOT TUB (INDOOR),2021-11-29T10:15:00,2021-11-29T10:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,4,,7.4,,,60,t,t,t,t,t,t,2021-11-30
59311,197091,1140,RESIDENCE INN POOL,574 W GENERAL ROBINSON STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.4479905729024,-80.0073141750193,POOLS (INDOOR),2021-12-07T14:30:00,2021-12-08T14:45:00,FOLLOW UP INSPECTION,t,2,NOBBS SCOTT,,,,,,,,,,,t,t,f,t,t,t,2021-12-09
59312,197134,1963,DITHRIDGE HOUSE - POOL,220 N DITHRIDGE STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15213,40.4498405238179,-79.9520045442596,POOL (CONDO INDOOR),2021-12-08T11:20:00,2021-12-09T12:15:00,INITIAL INSPECTION,t,1,ANDERSON IAN,,,,,5.6,,7.4,,,,t,t,t,t,t,t,2021-12-13
59313,195938,2357,CHARTIERS VALLEY HIGH SCHOOL POOL,50 THOMS RUN  ROAD,,Collier Township,PRESTO,Allegheny County,PA,15017,40.378788791577,-80.1025406961975,POOLS (SCHOOLS),2021-10-14T10:00:00,2021-10-15T10:30:00,INITIAL INSPECTION,t,1,WILSON ANGELA,2,1.8,0.2,0.2,,,7.4,7.4,,1100,t,t,f,t,t,t,2021-11-12
59314,195969,3843,GOLDFISH SWIM SCHOOL,160 LAKE DRIVE,,Pine Township,WEXFORD,Allegheny County,PA,15090,40.6162762550763,-80.0526592447125,POOLS (INDOOR),2021-10-14T13:30:00,2021-10-19T14:00:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,2,,0.2,,,,7.4,,,293,t,t,f,t,t,t,2021-10-27
59315,196226,2035,YMCA / ALLEGHENY POOL,600 W NORTH AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.4545671919178,-80.0128335552463,POOLS (INDOOR),2021-10-28T13:45:00,2021-10-29T14:35:00,INITIAL INSPECTION,t,1,NOBBS SCOTT,3,2.6,0.4,0.4,,,7.6,7.6,,130,t,t,t,t,t,t,2021-11-08
59316,196340,4401,HOLIDAY INN EXPRESS & SUITES / NORTH SHORE POOL,228 FEDERAL  STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.4487848048952,-80.0042081285296,POOLS (INDOOR),2021-11-03T13:45:00,2021-11-04T14:35:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,,,,,7.65,,7.4,,,65,t,t,t,t,t,t,2021-11-08
59317,196507,915,SARAH HEINZ HOUSE POOL,1 HEINZ STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15212,40.4549556831006,-79.9927984650776,POOLS (INDOOR),2021-11-05T13:30:00,2021-11-10T14:20:00,INITIAL INSPECTION,f,1,NOBBS SCOTT,3.8,4.2,0.2,0.2,,,7.4,7.4,,330,t,t,t,t,t,t,2021-11-15
59318,196544,2357,CHARTIERS VALLEY HIGH SCHOOL POOL,50 THOMS RUN  ROAD,,Collier Township,PRESTO,Allegheny County,PA,15017,40.378788791577,-80.1025406961975,POOLS (SCHOOLS),2021-11-10T12:00:00,2021-11-12T12:15:00,FOLLOW UP INSPECTION,t,2,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,2021-11-12
59319,196560,2493,CMU / AQUATIC CENTER LAP POOL,5000 FORBES AVENUE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15217,,,POOLS (SCHOOLS),2021-11-10T02:15:00,2021-11-12T02:45:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,3.5,,0,,,,7.4,,,600,t,t,t,t,t,t,2021-11-15
59320,196701,4943,EMBASSY SUITES POOL,535 SMITHFIELD STREET,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.441402452878,-79.9980334031628,POOLS (INDOOR),2021-11-17T10:30:00,2021-11-19T11:00:00,INITIAL INSPECTION,t,1,MURPHY COLLEEN,3,,0,,,,7.2,,,35,t,t,f,t,t,t,2022-01-20
59321,196709,1410,WYNDHAM GRAND PITTSBURGH - SPA,600 COMMONWEALTH PLACE,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15222,40.4417408925392,-80.0064088164826,SPA/HOT TUB (INDOOR),2021-11-17T01:30:00,2021-11-19T02:00:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,,,,,6,,7.2,,,35,t,t,t,t,t,t,2021-11-19
59322,196761,1028,LA FITNESS MONROEVILLE SPA,4100 WM PENN HIGHWAY,,Monroeville,MONROEVILLE,Allegheny County,PA,15146,,,SPA/HOT TUB (INDOOR),2021-11-15T09:00:00,2021-11-23T09:30:00,INITIAL INSPECTION,f,1,MURPHY COLLEEN,4.8,,0.2,,,,7.6,,,25,t,t,t,t,t,t,2021-11-23
59323,196771,5142,COMFORT INN & SUITES PITTSBURGH-POOL,1100 BANKSVILLE ROAD,,Pittsburgh,PITTSBURGH,Allegheny County,PA,15216,40.4199183995027,-80.0302713936274,POOLS (INDOOR),2021-11-22T10:10:00,2021-11-23T10:20:00,FOLLOW UP INSPECTION,t,3,MANOWN MARYANN,3.5,,0.2,,,,,,,,t,t,t,t,t,t,2021-11-24
59324,197021,748,COMFORT INN PITTSBURGH EAST POOL,699 RODI ROAD,,Wilkins Township,PITTSBURGH,Allegheny County,PA,15235,40.4432957512321,-79.8265539311114,POOLS (INDOOR),2021-12-01T14:00:00,2021-12-06T14:35:00,INITIAL INSPECTION,t,1,ANDERSON IAN,4,4.4,0.4,0.4,,,7.2,7.2,,145,t,t,t,t,t,t,2021-12-13
59325,197212,2456,VIRGINIA MANSIONS CONDO SPA,2120 GREENTREE ROAD,,Scott Township,PITTSBURGH,Allegheny County,PA,15220,40.392329381139,-80.0710259448075,SPA/HOT TUB (INDOOR),2021-12-13T10:35:00,2021-12-14T10:37:00,FOLLOW UP INSPECTION,t,4,WILSON ANGELA,,,,,,,,,,,t,t,t,t,t,t,2021-12-15
59326,197454,10018,DOUBLETREE BY HILTON GREEN TREE IN/OUT DOOR POOL,500 MANSFIELD AVENUE,,Green Tree,Pittsburgh,Allegheny County,PA,15205,40.4184590864671,-80.0596180576801,POOLS (INDOOR),2021-12-29T10:20:00,2021-12-30T10:28:00,FOLLOW UP INSPECTION,t,3,WILSON ANGELA,,,,,,,,,,,t,t,f,t,t,t,2022-01-04
